Field,CCD,Semester,POS_Y,POS_X
14,N16,15A,681,88
35,S21,15A,1635,1875
40,N10,15A,300,1019
40,N17,15A,2837,1635
02,N5,15A,2755,805
07,N14,15A,2994,1528
47,N7,15A,661,329
07,N2,15A,3860,1214
45,N20,15A,3873,212
25,S14,15A,1111,1660
33,N28,15A,497,246
34,N27,15A,774,1246
13,S1,15A,1750,1624
41,N9,15A,3247,1851
26,S9,15A,4019,508
07,S10,15A,3300,518
26,N9,15A,895,988
22,N27,15A,3278,1883
20,N28,15A,3067,703
31,S4,15A,733,923
35,N23,15A,3472,1409
35,N5,15A,2801,1842
06,S23,15A,470,1885
05,N2,15A,553,1443
13,N6,15A,617,773
08,S29,15A,480,362
21,S5,15A,3584,276
19,S2,15A,931,699
30,S21,15A,2818,1701
31,S2,15A,3559,1448
42,S17,15A,533,1135
38,N21,15A,3491,1526
43,N17,15A,3473,755
45,N25,15A,1041,1096
42,N31,15A,2908,1586
28,S16,15A,817,290
40,S24,15A,3409,348
47,S15,15A,471,791
49,S15,15A,2552,1347
43,S10,15A,43,1443
38,N29,15A,2047,1360
03,N13,15A,2382,1946
15,S19,15A,3928,1042
08,N5,15A,4023,73
14,N19,15A,1802,719
25,N7,15A,2071,1835
27,S10,15A,3387,1780
29,N21,15A,1661,0370
33,S17,15A,2704,0980
34,N8,15A,1779,1338
42,S9,15A,1232,1021
50,S3,15A,313,1641
19,N8,15A,3133,1553
26,S26,15A,3401,1873
34,N19,15A,2522,941
12,S28,15A,2770,92
45,N4,15A,2145,728
46,N22,15A,1956,320
49,N14,15A,2460,1452
39,S10,15A,1757,0857
43,N25,15A,139,813
20,S14,15A,1576,640
25,N3,15A,1184,333
15,N22,15A,3970,1632
41,S29,15A,4033,376
03,N3,15A,206,1712
03,N20,15A,128,1934
05,N17,15A,331,1469
07,N27,15A,1641,922
12,N20,15A,4014,424
14,S8,15A,693,678
14,S11,15A,3355,1003
19,S12,15A,1018,797
21,N8,15A,1388,292
21,S15,15A,3826,209
28,N12,15A,1386,515
30,S26,15A,3062,1568
26,N10,15A,2660,1236
39,N23,15A,277,1598
34,N3,15A,3630,1052
41,N26,15A,753,638
49,N20,15A,3979,683
43,S1,15A,926,558
40,N16,15A,1208,1725
46,S24,15A,615,877
49,S17,15A,2348,1858
19,N8,15A,3133,1553
45,S6,15A,1242,1340
45,N8,15A,3075,1700
47,S27,15A,3514,978
02,S17,15A,2828,1839
09,N11,15A,0672,0052
38,S25,15A,2720,0172
