N,ID,Field,CCD,Par00,Par01,Par02,Par03,Par04,Par05,Par06,Par07,Par08,Par09,Par10,Par11,Par12,Par13,Par14,Par15,Par16,Par17,Par18,Par19,Par20,Par21,Par22,Par23,Par24,Par25,Par26,Par27,Par28,Par29,Par30,Par31
1,HiTS01SN,14,N16,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0
2,HiTS02SN,35,S21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HiTS03SN,40,N10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,HiTS04SN,40,N17,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,HiTS05SN,2,N5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,HiTS06SN,7,N14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,HiTS07SN,47,N7,-,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,HiTS08SN,7,N2,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,HiTS09SN,45,N20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,HiTS10SN,25,S14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,HiTS11SN,33,N28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HiTS12SN,34,N27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,HiTS13SN,13,S1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HiTS14SN,41,N9,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,HiTS15SN,26,S9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,HiTS16SN,7,S10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
17,HiTS17SN,26,N9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,HiTS18SN,22,N27,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,HiTS19SN,20,N28,0,0,0,0,0,0,-,-,0,0,0,0,0,0,-,-,-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0
20,HiTS20SN,31,S4,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,HiTS21SN,35,N23,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,HiTS22SN,35,N5,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,HiTS23SN,6,S23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,HiTS24SN,5,N2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,HiTS25SN,13,N6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,HiTS26SN,8,S29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HiTS27SN,21,S5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HiTS28SN,19,S2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,HiTS29SN,30,S21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,HiTS30SN,31,S2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,HiTS31SN,42,S17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,HiTS32SN,38,N21,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,HiTS33SN,43,XN17,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HiTS34SN,45,N25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,HiTS35SN,42,N31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,HiTS36SN,28,S16,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,HiTS37SN,40,S24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,HiTS38SN,47,S15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,HiTS39SN,49,S15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,HiTS40SN,43,S10,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,HiTS41SN,38,N29,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HiTS42SN,3,N13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,HiTS43SN,15,S19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,HiTS44SN,8,N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,HiTS45SN,14,N19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,HiTS46SN,25,N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,HiTS47SN,27,S10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,HiTS48SN,29,N21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,HiTS49SN,33,S17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,HiTS50SN,34,N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,HiTS51SN,42,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,HiTS52SN,50,S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,HiTS53SN,19,N8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
